Plot_Treatment,Plot_Replicate,Footprint,Plot_ID,Footprint_Full,Days_Since_Irrigation,Sample_Week,Start_Date,Start_Time_EDT,Start_Time_UTC,End_Date,End_Time_EDT,End_Time_UTC,Collector,Comments
T1,R1,D1,T1_R1_D1,Y1 Drought (soy),1,1,2021-07-07,10:58,14:58,2021-07-09,11:29,15:29,RM,not deep enough
T1,R1,IR,T1_R1_IR,Control (irrigated),1,1,2021-07-07,NA,NA,2021-07-09,11:31,15:31,HS,
T1,R1,VR,T1_R1_VR,Variable Rainfall,1,1,2021-07-07,10:57,14:57,2021-07-09,11:27,15:27,JDS,
T1,R2,D1,T1_R2_D1,Y1 Drought (soy),1,1,2021-07-07,10:29,14:29,2021-07-09,10:57,14:57,RM,
T1,R2,IR,T1_R2_IR,Control (irrigated),1,1,2021-07-07,10:26,14:26,2021-07-09,10:54,14:54,HS,hammered down after collecting
T1,R2,VR,T1_R2_VR,Variable Rainfall,1,1,2021-07-07,10:28,14:28,2021-07-09,10:58,14:58,JDS,
T1,R3,D1,T1_R3_D1,Y1 Drought (soy),0,1,2021-07-06,10:25,14:25,2021-07-08,10:33,14:33,RM,
T1,R3,IR,T1_R3_IR,Control (irrigated),0,1,2021-07-06,10:22,14:22,2021-07-08,10:30,14:30,AMS,
T1,R3,VR,T1_R3_VR,Variable Rainfall,0,1,2021-07-06,10:20,14:20,2021-07-08,10:32,14:32,JDS,
T1,R4,D1,T1_R4_D1,Y1 Drought (soy),0,1,2021-07-06,10:42,14:42,2021-07-08,10:47,14:47,RM,not deep enough?
T1,R4,IR,T1_R4_IR,Control (irrigated),0,1,2021-07-06,10:43,14:43,2021-07-08,10:49,14:49,AMS,
T1,R4,VR,T1_R4_VR,Variable Rainfall,0,1,2021-07-06,10:42,14:42,2021-07-08,10:51,14:51,JDS,
T2,R1,D1,T2_R1_D1,Y1 Drought (soy),1,1,2021-07-07,10:06,14:06,2021-07-09,10:33,14:33,RM,hammered down after collecting
T2,R1,IR,T2_R1_IR,Control (irrigated),1,1,2021-07-07,10:02,14:02,2021-07-09,10:38,14:38,HS,"buried; fell over, no data, found tube"
T2,R1,VR,T2_R1_VR,Variable Rainfall,1,1,2021-07-07,10:04,14:04,2021-07-09,10:36,14:36,JDS,in between rows
T2,R3,D1,T2_R3_D1,Y1 Drought (soy),0,1,2021-07-06,11:01,15:01,2021-07-08,11:07,15:07,RM,not deep enough
T2,R3,IR,T2_R3_IR,Control (irrigated),0,1,2021-07-06,11:08,15:08,2021-07-08,11:05,15:05,AMS,"buried, couldn't find PVC "
T2,R3,VR,T2_R3_VR,Variable Rainfall,0,1,2021-07-06,11:02,15:02,2021-07-08,11:03,15:03,JDS,
T2,R4,D1,T2_R4_D1,Y1 Drought (soy),1,1,2021-07-07,10:42,14:42,2021-07-09,11:10,15:10,RM,
T2,R4,IR,T2_R4_IR,Control (irrigated),1,1,2021-07-07,10:38,14:38,2021-07-09,11:07,15:07,HS,hammered down after collecting
T2,R4,VR,T2_R4_VR,Variable Rainfall,1,1,2021-07-07,10:40,14:40,2021-07-09,11:11,15:11,JDS,not deep enough
T2,R6,D1,T2_R6_D1,Y1 Drought (soy),0,1,2021-07-06,10:03,14:03,2021-07-08,10:17,14:17,RM,
T2,R6,IR,T2_R6_IR,Control (irrigated),0,1,2021-07-06,10:02,14:02,2021-07-08,10:18,14:18,AMS,"cornstalk fell in, insects could have crawled out"
