"Sort_Date","Plot_Treatment","Plot_Replicate","Footprint","Plot_ID","Footprint_Full","Start_Date","Days_Since_Irrigation","Genus","Epithet","Species","Reproductive_Yes1_No0","Number","Voucher","Sorter"
"10/25/2021","T1","R3","D1","T1_R3_D1","Y1 Drought (soy)","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","20","NHKBS3731","ECO"
"10/25/2021","T1","R3","D1","T1_R3_D1","Y1 Drought (soy)","7/6/2021","0","Solenopsis","molesta","Solenopsis molesta","0","5","NHKBS3757","ECO"
"10/25/2021","T1","R3","D1","T1_R3_D1","Y1 Drought (soy)","7/6/2021","0","Tetramorium","immigrans","Tetramorium immigrans","0","6","NHKBS3732","ECO"
"12/17/2021","T1","R3","IR","T1_R3_IR","Control (irrigated)","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","2","NHKBS3847","ECO"
"12/17/2021","T1","R3","IR","T1_R3_IR","Control (irrigated)","7/6/2021","0","Tetramorium","immigrans","Tetramorium immigrans","0","9","NHKBS3846","ECO"
"12/6/2021","T1","R3","VR","T1_R3_VR","Variable Rainfall","7/6/2021","0","Tetramorium","immigrans","Tetramorium immigrans","0","1","NHKBS3836","ECO"
"1/3/2022","T1","R4","D1","T1_R4_D1","Y1 Drought (soy)","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","3","NHKBS3931","JDS"
"10/20/2021","T1","R4","IR","T1_R4_IR","Control (irrigated)","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","4","NHKBS2133","ECO"
"10/20/2021","T1","R4","IR","T1_R4_IR","Control (irrigated)","7/6/2021","0","Solenopsis","molesta","Solenopsis molesta","0","2","NHKBS2134","ECO"
"10/20/2021","T1","R4","IR","T1_R4_IR","Control (irrigated)","7/6/2021","0","Tetramorium","immigrans","Tetramorium immigrans","0","1","NHKBS2135","ECO"
"10/26/2021","T1","R4","VR","T1_R4_VR","Variable Rainfall","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","17","NHKBS3772","ECO"
"10/26/2021","T1","R4","VR","T1_R4_VR","Variable Rainfall","7/6/2021","0","Solenopsis","molesta","Solenopsis molesta","0","1","NHKBS3773","ECO"
"10/27/2021","T2","R3","D1","T2_R3_D1","Y1 Drought (soy)","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","8","NHKBS3780","ECO"
"12/3/2021","T2","R3","IR","T2_R3_IR","Control (irrigated)","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","1","NHKBS3826","ECO"
"12/3/2021","T2","R3","IR","T2_R3_IR","Control (irrigated)","7/6/2021","0","Solenopsis","molesta","Solenopsis molesta","0","1","NHKBS3827","ECO"
"12/3/2021","T2","R3","IR","T2_R3_IR","Control (irrigated)","7/6/2021","0","Tetramorium","immigrans","Tetramorium immigrans","0","3","NHKBS3825","ECO"
"12/6/2021","T2","R3","VR","T2_R3_VR","Variable Rainfall","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","8","NHKBS3834","ECO"
"12/6/2021","T2","R3","VR","T2_R3_VR","Variable Rainfall","7/6/2021","0","Tetramorium","immigrans","Tetramorium immigrans","0","2","NHKBS3835","ECO"
"10/22/2021","T2","R6","D1","T2_R6_D1","Y1 Drought (soy)","7/6/2021","0","No ants","NULL","No ants NULL","NULL","NULL","NULL","ECO"
"10/26/2021","T2","R6","IR","T2_R6_IR","Control (irrigated)","7/6/2021","0","Tetramorium","immigrans","Tetramorium immigrans","0","1","NHKBS3765","ECO"
"10/26/2021","T2","R6","IR","T2_R6_IR","Control (irrigated)","7/6/2021","0","Tetramorium","immigrans","Tetramorium immigrans","1","1","NHKBS3766","ECO"
"10/26/2021","T2","R6","VR","T2_R6_VR","Variable Rainfall","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","2","NHKBS3774","ECO"
"10/26/2021","T2","R6","VR","T2_R6_VR","Variable Rainfall","7/6/2021","0","Solenopsis","molesta","Solenopsis molesta","0","1","NHKBS3775","ECO"
"10/26/2021","T2","R6","VR","T2_R6_VR","Variable Rainfall","7/6/2021","0","Tetramorium","immigrans","Tetramorium immigrans","0","1","NHKBS3776","ECO"
"1/24/2022","T7","R3","D1","T7_R3_D1","Y1 Drought (soy)","7/6/2021","0","Aphaenogaster","rudis","Aphaenogaster rudis","0","2","NHKBS4011","JDS"
"1/24/2022","T7","R3","D1","T7_R3_D1","Y1 Drought (soy)","7/6/2021","0","Formica","subsericea","Formica subsericea","0","15","NHKBS3634","JDS"
"1/24/2022","T7","R3","D1","T7_R3_D1","Y1 Drought (soy)","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","1","NHKBS4012","JDS"
"1/24/2022","T7","R3","D1","T7_R3_D1","Y1 Drought (soy)","7/6/2021","0","Myrmica","detritinodis","Myrmica detritinodis","0","5","NHKBS4010","JDS"
"10/15/2021","T7","R3","IR","T7_R3_IR","Control (irrigated)","7/6/2021","0","Formica","glacialis","Formica glacialis","0","1","NHKBS3745","JDS"
"10/15/2021","T7","R3","IR","T7_R3_IR","Control (irrigated)","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","21","NHKBS3744","JDS"
"11/22/2021","T7","R3","VR","T7_R3_VR","Variable Rainfall","7/6/2021","0","Aphaenogaster","rudis","Aphaenogaster rudis","0","1","NHKBS3870","JDS"
"11/22/2021","T7","R3","VR","T7_R3_VR","Variable Rainfall","7/6/2021","0","Formica","glacialis","Formica glacialis","0","3","NHKBS3866","JDS"
"11/22/2021","T7","R3","VR","T7_R3_VR","Variable Rainfall","7/6/2021","0","Formica","incerta","Formica incerta","0","1","NHKBS3867","JDS"
"11/22/2021","T7","R3","VR","T7_R3_VR","Variable Rainfall","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","27","NHKBS3869","JDS"
"11/22/2021","T7","R3","VR","T7_R3_VR","Variable Rainfall","7/6/2021","0","Prenolepis","imparis","Prenolepis imparis","0","1","NHKBS3868","JDS"
"12/6/2021","T7","R4","D1","T7_R4_D1","Y1 Drought (soy)","7/6/2021","0","Aphaenogaster","rudis","Aphaenogaster rudis","0","1","NHKBS3880","AKS"
"12/6/2021","T7","R4","D1","T7_R4_D1","Y1 Drought (soy)","7/6/2021","0","Formica","glacialis","Formica glacialis","0","2","NHKBS3879","AKS"
"12/6/2021","T7","R4","D1","T7_R4_D1","Y1 Drought (soy)","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","53","NHKBS3878","AKS"
"10/27/2021","T7","R4","IR","T7_R4_IR","Control (irrigated)","7/6/2021","0","Formica","glacialis","Formica glacialis","0","1","NHKBS3778","ECO"
"10/27/2021","T7","R4","IR","T7_R4_IR","Control (irrigated)","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","31","NHKBS3777","ECO"
"10/27/2021","T7","R4","IR","T7_R4_IR","Control (irrigated)","7/6/2021","0","Solenopsis","molesta","Solenopsis molesta","0","1","NHKBS3779","ECO"
"11/22/2021","T7","R4","VR","T7_R4_VR","Variable Rainfall","7/6/2021","0","Aphaenogaster","rudis","Aphaenogaster rudis","0","2","NHKBS3863","JDS"
"11/22/2021","T7","R4","VR","T7_R4_VR","Variable Rainfall","7/6/2021","0","Formica","subsericea","Formica subsericea","0","1","NHKBS3858","JDS"
"11/22/2021","T7","R4","VR","T7_R4_VR","Variable Rainfall","7/6/2021","0","Formica","pallidefulva","Formica pallidefulva","0","3","NHKBS3861","JDS"
"11/22/2021","T7","R4","VR","T7_R4_VR","Variable Rainfall","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","2","NHKBS3860","JDS"
"11/22/2021","T7","R4","VR","T7_R4_VR","Variable Rainfall","7/6/2021","0","Myrmica","americana","Myrmica americana","0","40","NHKBS3862","JDS"
"11/22/2021","T7","R4","VR","T7_R4_VR","Variable Rainfall","7/6/2021","0","Solenopsis","molesta","Solenopsis molesta","0","5","NHKBS3859","JDS"
"12/3/2021","T7","R5","D1","T7_R5_D1","Y1 Drought (soy)","7/6/2021","0","Aphaenogaster","rudis","Aphaenogaster rudis","0","1","NHKBS3830","ECO"
"12/3/2021","T7","R5","D1","T7_R5_D1","Y1 Drought (soy)","7/6/2021","0","Brachymyrmex","depilis","Brachymyrmex depilis","0","1","NHKBS3828","ECO"
"12/3/2021","T7","R5","D1","T7_R5_D1","Y1 Drought (soy)","7/6/2021","0","Formica","subsericea","Formica subsericea","0","2","NHKBS3831","ECO"
"12/3/2021","T7","R5","D1","T7_R5_D1","Y1 Drought (soy)","7/6/2021","0","Formica","glacialis","Formica glacialis","1","1","NHKBS3832","ECO"
"12/3/2021","T7","R5","D1","T7_R5_D1","Y1 Drought (soy)","7/6/2021","0","Formica","ulkei","Formica ulkei","1","1","NHKBS3833","ECO"
"12/3/2021","T7","R5","D1","T7_R5_D1","Y1 Drought (soy)","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","7","NHKBS3829","ECO"
"8/2/2021","T7","R5","IR","T7_R5_IR","Control (irrigated)","7/6/2021","0","Aphaenogaster","rudis","Aphaenogaster rudis","0","2","NHKBS3367","JDS"
"8/2/2021","T7","R5","IR","T7_R5_IR","Control (irrigated)","7/6/2021","0","Formica","glacialis","Formica glacialis","0","5","NHKBS3369","JDS"
"8/2/2021","T7","R5","IR","T7_R5_IR","Control (irrigated)","7/6/2021","0","Lasius","neoniger","Lasius neoniger","0","5","NHKBS3370","JDS"
"8/2/2021","T7","R5","IR","T7_R5_IR","Control (irrigated)","7/6/2021","0","Myrmica","americana","Myrmica americana","0","6","NHKBS3368","JDS"
